"Course Type","Lowest Eligible Year","Course Name","Instructor's Name","Semester","Day (1)","Period (1)","Day (2)","Period (2)","Overall Satisfaction","Difficulty of achieving high score","Is the class beneficial","Overall comment and evaluation regarding the class/instructor"
"First Year Seminar",1,"The Future of Power","山下光","Fall Semester","Saturday",2,,,5,5,3,"老師很free"
"Intermediate Subjects",2,"Intro to Accounting","Shimakata Ryō","Fall Semester","Tuesday",5,,,3,4,2,"It’s hard to learn anything bc the speed of the lessons are so fast and unlike other universities you practically have to do everything on your own. However so long as you complete the weekly tasks and finals, you’re bound to get a good grade."
"Intermediate Seminar",2,"Intermediate Seminar 52 Thinking Strategically","Ayako Suzuki","Fall Semester","Thursday",2,,,5,5,5,"對於基本賽局理論有興趣的可以選選看這堂課，教授試著以簡單明瞭、少量數學算式教導大家，教授非常 free，presentation 跟 final project 都不難，有用心拿分就穩定，課堂測驗可以討論交流，對自己想法沒什麼信心的or想嘗試將自己想法具體化的可以試試看這堂，教授都會給予正面回應，沒頭緒她也會試著幫你建立主題跟架構。"
"Intermediate Subjects",2,"Microeconomics","Ayako Suzuki","Fall Semester","Tuesday",1,"Thursday",1,5,5,5,"每學期不一，一週上課一次，不會take attendance 。這學期主要是星期四上課，星期二可不用到教室但每週有個problem set 要做，答錯不影響學期成績，期中期末考試題目都和problem set類似，全手寫題，用到一點點微積分，有唸就有分，個人覺得挺簡單的。"
"Intermediate Subjects",2,"Introduction to Logic & Set Theory 51","Ryuichiro Ishikawa","Fall Semester","Monday",3,,,2,2,2,"對邏輯證明有興趣的可以試試，得靠自己。教授很熱心，很有教學熱忱，但有點雷雷的，證明常常出錯，考試偏難，全班考試平均都四五十分，不過 assessment 訂得很清楚，要過不難，想拿A or A+不容易。"
"Intermediate Subjects",2,"Intermediate Calculus 51","Ryuichiro Ishikawa","Fall Semester","Wednesday",1,,,4,3,4,"對於微積分有興趣的可以試試，得靠自己。教授很熱心，很有教學熱忱，但有點雷雷的，寫題目常常出錯，考試偏難。全班考試平均四五十分，不過assessment 訂得很清楚，要過不難，要拿 A or A+不容易，數學類的得靠平時動手多算多練，臨時抱佛腳類型的會比較應付不來。"
"Introductory Subjects",1,"Introduction to Macroeconomics 51","BAAK, Saang Joon","Full Year","Monday",5,,,5,5,5,"總體經濟入門課內容不會到太難，考試題目為32~38左右的選擇題，難易度適中，每堂課會有簡單的隨堂考，教授會告訴你答案那種，一學期會被教授點到兩次回答問題，點名為主要目的，答對答錯隨便答不影響成績，有念有分的課。"
"Intermediate Subjects",1,"Contemporary issues in the Islamic world ","桜井啓子","Fall Semester","Wednesday",3,"Thursday",3,4,4,4,"教授很認真！英文也算是不錯，上課內容對沒有上初級的人來說也不會有接不上的問題。考試也不會刻意刁鑽（考試前會有一個word list )。 "
"Intermediate Subjects",1,"Pacific perspective on Empire, War, and globalization","Gregory Dvork","Fall Semester","Wednesday",4,"Wednesday",5,4,4,4,"每次上完課都覺得收穫滿滿，是在介紹太平洋的島嶼上發生的事，會讓你用不同的角度看世界，每個地方都有每個地方值得被重視的原因。"
"Intermediate Seminar",1,"Culture in context","Field Malcolm","Fall Semester","Thursday",5,,,4,3,4,"Malcolm 真的是很棒的教授，雖然中途上到有點累（上課都要跟旁邊的人討論）但真的每次的議題都會讓人重新審視一次自己對這個議題的想法跟邏輯是否有瑕疵，最後一堂課也是用了一個特別的方式結束。然後期中期末各一篇Essay。"
"Intermediate Subjects",2,"The EU&IR","Paul Bacon","Fall Semester","Thursday",2,,,4,3,4,"This class will change to a 4 credit class come 2019, it will be under a different class code & name too. Overall it’s beneficial if you want to know more about the EU and as long as you’re motivated and do everything he asks you to do, A/A+ isn’t hard to get. The only problem is that there are presentations by other students almost every week and a majority of them were a chore to pay attention to. "
"First Year Seminar",1,"First Year Seminar IB 56","MANNING, Julian","Fall Semester","Monday",4,,,4,5,1,"這堂課老師會講到社會形成的歷史背景與影響因素，有時候也會用畫作來說明時代特色。因為有很多不懂的專有名詞，所以我基本上聽不太懂，但老師基本上都自己一直在講話，會問大家的想法，並不是強制也不會逼你，不會影響成績。成績完全是以最後的報告決定。會記缺曠，是在表單上畫圈的方式。雖然成績很好拿，但我在這堂課沒有什麼收穫。"
"Introductory Subjects",1,"Introduction to Marketing","MORIMOTO, Mariko","Fall Semester","Monday",3,,,4,4,4,"雖然老師很嚴格，上課不能使用電子產品，每次上課都是戰鬥式抄筆記，但上完這堂課會想要繼續去讀相關的書或上其他課。老師講話很幽默，英文算標準不會聽不懂。上第一節課的時候會說他評分很嚴苛，會計入平常上課的回答表現，但其實考試有讀熟老師上課的筆記，不算難，總體而言，非常推薦。"
"Introductory Subjects",1,"Introduction to Macroeconomics","BAAK Shang Joon","Fall Semester","Monday",5,,,4,3,4,"老師非常可愛，有時候上課還會講一些他在生活上的事情。英文雖然不太標準，但因為都是therefore句型，所以其實滿好理解他在說什麼。上課會照著他的名條，讓大家回答問題作為上課參與度的評分，答錯也沒關係。只不過他很多地方都跳過，要同學自己讀，每次考試要讀的量都滿多的，有點辛苦。（不讀課本會很慘）"
"Introductory Subjects",1,"Introductory to Psychology: Qualitative Approach 51","AZUMA Rayna","Fall Semester","Tuesday",3,,,3,5,4,"這位老師講得英文，我完全聽不懂，感覺他的課也沒啥人在聽。但是他考試會給題庫（200題左右，選70），完全是真的，我一開始還不相信。偶爾會出作業，翻翻課本都找得到答案。出席會計入，上課30分左右會發名條，填完繳回。這堂課非常水，不過那本心理學的課本，很有趣，可以學到很多專有名詞，對心理學有興趣的同學可以試試看。"
"Introductory Subjects",1,"Introduction to Popular Culture 51","LAW Graham","Fall Semester","Tuesday",5,,,4,3,3,"每一節課都會介紹有名的角色，虛構或真人都有。上課放的影片很有趣，但是其實我覺得這節課比較像是歷史課的感覺，覺得考試沒有很簡單。期末的essay也很看文筆，很難拿到A+。"
"Introductory Subjects",1,"Introduction to Language Studies 51","KONDO Mariko,MUEHLEISEN Victoria L. ,NAMAI Kenichi","Fall Semester","Thursday",3,,,5,4,5,"課程有不有趣看個人，如果對這領域有興趣的人，可以學到很多東西，但如果沒興趣的話讀起來會有點痛苦。15堂課分三個部分，跟其他課有點不一樣的是這堂有三次的考試。兩次期中，一次期末。第一部分是語音學跟音位學，基本上把IPA（國際音標）背好就沒什麼問題了，也是三次考試最好準備的。第二個部分是語意學跟語用學，是三個部分中最好懂的。考試的話全是手寫題，是三次考試題目最多的一次，不過不會很難，熟讀教授的PPT就OK了，然後寫考卷的時候要注意，答案要回答完整，不然很容易被扣分。 第三個部分則是語法學，我覺得是三個部分裡最難的。除了期末考以外，還有四次的小考。都是選擇題，然後不管是小考還是期末考，都可以看講義跟筆記。但不要因為這樣就覺得沒認真讀也沒關係。因為小考一題作答時間為30秒，期末一題作答時間則是一分鐘。根本沒甚麼時間可以翻講義。建議上課認真，熟讀內容並準備一小張的建議筆記會比較好。"
